,noticeID,user,assistant
1509,Notice_NO_2952,"The applicant has requested authorization to install and maintain fill to construct a heavy haul ramp in the Mississippi River batture.This ramp will allow heavy equipment to be offloaded and brought to Shell’s existing facility.The ramp will remain in place for approximately 1 low water season.Then, the site will be restored to pre- project contours and allowed to re- vegetate.Approximately 1.5 acres of forested batture and approximately 0.acre of maintained herbaceous wetlands will be impacted by the proposed activity.As compensation for unavoidable wetland impacts the applicant proposes to purchase wetland credits from a Corps approved mitigation bank located in the watershed.","{'wetlands': [{'wetland_type': 'forested batture', 'impact_quantity': '1.5', 'impact_unit': 'acres', 'impact_duration': 'temporary', 'impact_type': 'loss'}, {'wetland_type': 'maintained herbaceous wetlands', 'impact_quantity': '0.1', 'impact_unit': 'acre', 'impact_duration': 'temporary', 'impact_type': 'loss'}]}"
1748,Notice_NO_3192,"Clear, grade, and fill to construct an additional auction facility, long -term and short -term pre - and post -auction storage, delivery areas, auction building, auction registration building, and customer parkingto accommodate the growing client base.Approximately 8,000 cubic yards of clean silt fill, 2000 cubic yards of limestone, and 500 cubic yards of concrete will be used as fill material on the site.Approximately 1.3 acres of forested wetland will be impacted by the proposed activity.Direct impacts to four acres of forested wetlands will be avoided.To compensate forunavoidable wetland impacts, the applicant has agreed to purchase credits from a Corps approved mitigation bank.","{'wetlands': [{'wetland_type': 'forested wetland', 'impact_quantity': '1.3', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'loss'}]}"
1793,Notice_NO_3239,"Excavate sand material for commercial sale.The excavation operation will consist of the removal of approximately 385,184 cubic yards of material from the Mississippi River batture, which will be hauled off for commercial sale, as shown on the drawings.Approximately 24 acres of jurisdictional other waters of the U.S. will be impacted by the proposed project , as shown on the drawings.","{'wetlands': [{'wetland_type': 'other waters of the U.S.', 'impact_quantity': '24', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'loss'}]}"
1830,Notice_NO_3276,"The applicant has requested Department of the Army authorization to clear, grade, grind, excavate, and deposit fill and/or aggregate material to upgrade the Runway Instrument Landing System (ILS) to Category (CAT) II . The proposed projectwould require approximately100 cubic yards of concrete and 75 cubic yards of wood piers , impacting approximately 1.99 acres of forested wetlands and 1,100 linear feet ofOther Waters of the U.S. subjectto Corps of Engineers jurisdiction.The applicant has designed the project to avoid and minimize direct and secondary adverse impacts to the maximum extent practicable.As compensation for unavoidable wetland impacts the applicant proposes to purchase wetland credits from a Corps approved mitigation bank located in the watershed.","{'wetlands': [{'wetland_type': 'forested wetlands', 'impact_quantity': '1.99', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'loss'}, {'wetland_type': 'Other Waters of the U.S.', 'impact_quantity': '1,100', 'impact_unit': 'linear feet', 'impact_duration': 'unknown', 'impact_type': 'loss'}]}"
1832,Notice_NO_3278,"The applicant proposes to bore 72- inch steel drain pipes under the railroad embankment, make ditch improvements to nearby conveyances, and construct a gravel access road to relieve ponding/flooding in the developed areas north of the railroad.Construction would require excavating 2,276 cubic yards of material and placing 978 cubic yards of material on-site, thusimpacting 0.46 acres of jurisdictional wetlands and 0.22 acres of “Waters of the U.S.”. The applicant proposes to contract with an approved compensatory mitigation bank to offset impacts associated wit h the project.","{'wetlands': [{'wetland_type': 'jurisdictional wetlands', 'impact_quantity': '0.46', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'loss'}, {'wetland_type': 'Waters of the U.S.', 'impact_quantity': '0.22', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'loss'}]}"
1939,Notice_NO_3388,Install and maintain 2.46 milesof six-inch bi directional gas pipeline to serve between the MP30Str. “A” Well Platform and BS56 Str. “BD” Well Platform .The line will be buried using hand and sled jetting .No special aquatic siteswill be affected by this project; no mitigation is anticipated .,{'wetlands': []}
2029,Notice_NO_3479,"Conduct dredging operations in a 20-feet wide by 3,600-feet long by 3-feet deep area in an existing property canal and place approximately 8,000 cubic yards of channel bottom material on top of an existing spoil bank, and install a 36-inch diameter 40-feet long pipe within an existing dam and a 12-inch diameter 30-feet long PVC pipe with attached flap gate within the existing spoil bank, all to improve hydrologic flow, fisheries access, and water quality within the canal. The proposed project will impact 1. 7 acres of waterbottoms and therefore, it is proposed no mitigation will be required.","{'wetlands': [{'wetland_type': 'waterbottoms', 'impact_quantity': '1.7', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'unknown'}]}"
2079,Notice_NO_3530,"Modified plans include dredging the previously approved Mississippi River Borrow Area from EL. -76.0 to EL. -90.0 (NAVD88) and depositing material within nine fill sitesin Lake Hermitage.Approximately 1,936,088 cubic yards of material will be excavated, transported by pipeline within the previously permitted dredge pipeline corridor, and placed within 8,200 linear feet of Earthen Containment Dikes.Expansion of the marsh creation project would provide an additional 357 acres of marsh creation.This coastal restoration project is aimed at yielding overall benefits to fish and wildlife values,and wetlands; therefore, no compensatory mitigation measures ha ve been proposed at this time.","{'wetlands': [{'wetland_type': 'marsh', 'impact_quantity': '357', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'creation'}]}"
2533,Notice_NO_3641,"The applicant proposes to place fill material in 5.99 acres of jurisdictional wetlands for the construction of a law enforcement training facility. The proposed facility would be comprised of long and short-range firing lanes, a classroom facility, and associated parking. The proposed firing range has been designed and would be constructed according to standards set forth in the ""2012 Range Design Criteria"" issued by the U.S. Department of Energy, Office of Health, Safety and Security. The 37.0-acre subject parcel contains approximately 23.0 acres of jurisdictional wetlands. The applicant is proposing to fill approximately 5.99 acres, leaving approximately 17.01 acres undisturbed to be utilized as a buffer for surrounding residential and commercial areas.","{'wetlands': [{'wetland_type': 'jurisdictional wetlands', 'impact_quantity': '5.99', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'loss'}]}"
2958,Notice_NO_3873,"The Applicant proposes a modified final phase development of Creekline Business Park as shown in Figure 3, (enclosed). Lots would be developed for warehouses, motels, offices, restaurants, and associated parking lots. A perimeter road and storm water detention ponds would be constructed to serve these facilities. The proposed plan would fully develop a 35-acre parcel at the west limits of the property and would require filling 6.4 acres of low-quality forested and scrub/shrub wetlands. No coastal wetlands would be impacted by the proposed work.","{'wetlands': [{'wetland_type': 'low-quality forested and scrub/shrub wetlands', 'impact_quantity': '6.4', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'loss'}]}"
2959,Notice_NO_3874,The applicant proposes to fill 2.55 acres of pine savanna wetlands in conjunction with the completion of a previously permitted development and construction of a mixed -use residential and commercial development within the northeast portion of the original project area . Development activities on the remaining portions of the property have been completed and the proposed action represents the portion of the property u pon which the developm ent activities have been completed .,"{'wetlands': [{'wetland_type': 'pine savanna', 'impact_quantity': '2.55', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'loss'}]}"
4088,Notice_NO_3966,"The applicant seeks authorization to construct a 640 linear foot seawall, install 0.14 acre of riprap, and backfill 0.22 acre of open water behind the seawall to reclaim land to accommodate the replacement and upgrade of two of the existing (upland) water storage tanks . The work includes impact to 0.06 acre of submerged aquatic vegetation within the fill footprint. The existing steel water tanks are dated and undersized (for future demand) and w ould be replaced with a new 3 million gallon ground potable water storage tank . The proposed work is necessary to provide protection for the new, larger tank and to accommodate incidental site requirements such as underground equipment (piping, valves, etc.) necessary for the operation and transmission of the facility.","{'wetlands': [{'wetland_type': 'seawall', 'impact_quantity': '640', 'impact_unit': 'linear feet', 'impact_duration': 'unknown', 'impact_type': 'damage'}, {'wetland_type': 'riprap', 'impact_quantity': '0.14', 'impact_unit': 'acre', 'impact_duration': 'unknown', 'impact_type': 'damage'}, {'wetland_type': 'open water', 'impact_quantity': '0.22', 'impact_unit': 'acre', 'impact_duration': 'unknown', 'impact_type': 'damage'}, {'wetland_type': 'submerged aquatic vegetation', 'impact_quantity': '0.06', 'impact_unit': 'acre', 'impact_duration': 'unknown', 'impact_type': 'damage'}]}"
4385,Notice_NO_4147,The applicant seeks authorization to place 0.08 acre of fill material in waters of the United States (Pal ustrine forested wetlands ) in association with the construction of a privat e single-family residence loca ted within the Aldea at San Pablo subdivision. The applicant also proposes to construct a pile-supported deck alongside the house.The proposed work in volves impacts to the higher quality wetlands that were avoided in the originalauthorization for t he Aldea at San Pablo subdivision in accordance with the 404(b)(1) Guidelines of the Clean Water Act (33 U.S.C. §1344). The proposed work would requirea modification tothe DA permit for Aldea at San Pablo to include the proposed impacts.,"{'wetlands': [{'wetland_type': 'Palustrine forested wetlands', 'impact_quantity': '0.08', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'loss'}]}"
4447,Notice_NO_4208,"The scope of work includes: (1) dredge 0.14 acres of 1,917 cubic yards of material to depth of -6.0 MLLW , (2) install 272 linear feet of new bulkhead, (3) install a 700 square feet of travel lift pier, install a 610 square foot access pier, (4) installa 140 square foot gangway, (5) install a 919 square foot floating dock, and 129 cubic yards of riprap within an 1,280 square foot area.Upland work involves the creation of a dry slip rack and a bridge traversing the channel.The project will result in the accommodation of 169 dry slips and 5 wet slips.The project will also r esult in the loss of 0.157 acres of mangrove wetlands .","{'wetlands': [{'wetland_type': 'mangrove', 'impact_quantity': '0.157', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'loss'}]}"
4557,Notice_NO_4320,The applicant seeks authorization to discharge fill material over waters of the United States consisting of 33.23 acres of impacts to the Everglades system. In addition the project would include dredging in waters of the United States resulting in temporary impacts to 0.06 acres of the Everglades system and 0.14 acres to the surface water system of the L- 29 Canal.,"{'wetlands': [{'wetland_type': 'Everglades system', 'impact_quantity': '33.23', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'loss'}, {'wetland_type': 'Everglades system', 'impact_quantity': '0.06', 'impact_unit': 'acres', 'impact_duration': 'temporary', 'impact_type': 'loss'}, {'wetland_type': 'surface water system of the L-29 Canal', 'impact_quantity': '0.14', 'impact_unit': 'acres', 'impact_duration': 'temporary', 'impact_type': 'loss'}]}"
4588,Notice_NO_4350,"The applicant seeks authorization for the discharge of fill material in order to expand the mine 89.10 acres northeast of the 474 Independent Sand Mine and south of the North Sand Mine. The applicant proposes to mine 43.81 acres, with direct impacts to 11.16 acres of aquatic resources, including 0.55 acres of forested wetlands, 0.69 acres of herbaceous wetlands, 5.35 acres of wetland prairies, 0.29 acre of wetland shrub, and 0.12 acre of ditches .This results in 8.41 acres of new wetland impacts and 2.75 acres of wetlands that were previously impacted under Modification 2. The applicant states that the project will also result in indirect impacts to 14.39 acres of wetlands, including 2.38 acres of forested wetlands , 9.91 acres wetland shrub, and 0.08 acre of wetland prairie s.","{'wetlands': [{'wetland_type': 'forested wetlands', 'impact_quantity': '0.55', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'loss'}, {'wetland_type': 'herbaceous wetlands', 'impact_quantity': '0.69', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'loss'}, {'wetland_type': 'wetland prairies', 'impact_quantity': '5.35', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'loss'}, {'wetland_type': 'wetland shrub', 'impact_quantity': '0.29', 'impact_unit': 'acre', 'impact_duration': 'unknown', 'impact_type': 'loss'}, {'wetland_type': 'ditches', 'impact_quantity': '0.12', 'impact_unit': 'acre', 'impact_duration': 'unknown', 'impact_type': 'loss'}, {'wetland_type': 'forested wetlands', 'impact_quantity': '2.38', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'loss'}, {'wetland_type': 'wetland shrub', 'impact_quantity': '9.91', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'loss'}, {'wetland_type': 'wetland prairie', 'impact_quantity': '0.08', 'impact_unit': 'acre', 'impact_duration': 'unknown', 'impact_type': 'loss'}]}"
4774,Notice_NO_5448,The applicant seeks authorization to discharge fill material into 1.27 acres of palustrine- forested wetlands and 1.01 acre of ditches to facilitate a single-family residential development with associated stormwater management system.,"{'wetlands': [{'wetland_type': 'palustrine-forested', 'impact_quantity': '1.27', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'loss'}, {'wetland_type': 'ditches', 'impact_quantity': '1.01', 'impact_unit': 'acre', 'impact_duration': 'unknown', 'impact_type': 'loss'}]}"
4861,Notice_NO_5541,"The applicant seeks authorization to construct a new boat manufacturing facility consisting of seven 1- level metal buildings (Component Shop/Infusion Building, Assembly Building 1, Assembly Building 2, Office/Lunch Room and Inventory Building, Maintenance Building, Training Building, and a small Guard House), a par king area, a boat launching ramp, and a w ooden dock.The proposed facility would als o include two sediment settling ponds (to control runoff from the site) and a graveled road/accessway to the launch ramp and dock. The proposed project design respects the existing topography of the site a nd, for the most part, would not 2 alter the existing drainage way. The construction of the proposed facility ’s parking lot and entrance drive would require the discharge of fill material into approximately 0.051 acres of waters of the United States (existing dra inage way). The proposed wooden dock would be 180’ long x 12 ’ wide, and would have a 100’ long x 10’ wide “L” end. The dock would be built immediately adjacent to the remnants of the previous dock , to the west of the existing rip -rap, and would connect to a graveled roadway in uplands. The dock would be supported by 52 12” in diameter wooden pilings that would be installed by jetting. Some of the remnant pilings of the previous dock structure would be removed as part of the project construction activi ties, and it would also be done by jetting. The seaward end of the proposed dock would maintain a clearance of about 3’ from the mean high tide line (MHTL), and would be located at a water depth of about 3’. Water depths along the proposed dock’s footpri nt would range from about 0’ to 3’. The dock construction activities would require the use of small vessels. The proposed boat launching ramp (launching path) would consist of a designated area immediately west of the proposed dock, and would not require any excavation, discharges, construction activities or improvements. The proposed dock and launching ramp are specifically intended for commissioning and sea trials of new boats manufactured at the facility.","{'wetlands': [{'wetland_type': 'waters of the United States', 'impact_quantity': '0.051', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'loss'}]}"
5026,Notice_NO_5716,"The applicant proposes construction of a commercial planned development on 29.4+/ - acres toinclude a retailstore with associatedparking and fueling facilities as well as commercialdevelopment outparcels for stand -alone retail and/or or restaurant uses. The project entails impactsto 1.1 +/ - acres of Non -Wetland Waters of the U.S. and 3.3 +/ - acres of Wetland Waters of theU.S. Th e proposed construction elements include access roads, a retailstore, commercialoutparcels, associated parking and travel areas, and a stormwater retention pond.","{'wetlands': [{'wetland_type': 'Non-Wetland Waters of the U.S.', 'impact_quantity': '1.1', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'loss'}, {'wetland_type': 'Wetland Waters of the U.S.', 'impact_quantity': '3.3', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'loss'}]}"
5282,Notice_NO_5983,The applicant seeks authorization to fill 4.42 acres of waters of the United States for construction of a two- lane road.,"{'wetlands': [{'wetland_type': 'waters of the United States', 'impact_quantity': '4.42', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'fill'}]}"
5316,Notice_NO_6019,"The applicant seeks authorization to place approximately 200 cubic yards of fill in approximately 5, 800 square feet of jurisdictional wetlands, to avoid 2,050 square feet of wetland shoreline, and to install temporary filter fencing to isolate the construction site from the adjacent wetlands.","{'wetlands': [{'wetland_type': 'jurisdictional wetlands', 'impact_quantity': '5,800', 'impact_unit': 'sq. feet', 'impact_duration': 'temporary', 'impact_type': 'avoid'}]}"
5459,Notice_NO_6174,"The applicant seeks authorization for a permit to: 1) Install 1,876 linear feet of seawall along the eastern boundary of the project, that will result in approximately 3,839 cubic yards of backfill above the Mean High Water Mark (MHWM) adjacent to the Tarpon Canal that will result in 0.06 acres of impact to mangrove wetlands within the man- made canal ; and 2) Construct 24 single family docks measuring 8’ X 16’ .","{'wetlands': [{'wetland_type': 'mangrove wetlands', 'impact_quantity': '0.06', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'loss'}]}"
5462,Notice_NO_6177,"The applicant seeks authorization to fill 1.37 acresof waters of the United States(0.84 acres – wetlands; 0.53 acres – surface waters ) to construct a multi-family residential development.The construction includes building , parking, stormwater managementponds, and infrastructure.","{'wetlands': [{'wetland_type': 'wetlands', 'impact_quantity': '0.84', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'loss'}, {'wetland_type': 'surface waters', 'impact_quantity': '0.53', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'loss'}, {'wetland_type': 'Brazilian Pepper', 'impact_quantity': 'unknown', 'impact_unit': 'unknown', 'impact_duration': 'unknown', 'impact_type': 'unknown'}, {'wetland_type': 'red cedar', 'impact_quantity': 'unknown', 'impact_unit': 'unknown', 'impact_duration': 'unknown', 'impact_type': 'unknown'}, {'wetland_type': 'cabbage palmetto', 'impact_quantity': 'unknown', 'impact_unit': 'unknown', 'impact_duration': 'unknown', 'impact_type': 'unknown'}, {'wetland_type': 'sugarberry', 'impact_quantity': 'unknown', 'impact_unit': 'unknown', 'impact_duration': 'unknown', 'impact_type': 'unknown'}, {'wetland_type': 'sand live oak', 'impact_quantity': 'unknown', 'impact_unit': 'unknown', 'impact_duration': 'unknown', 'impact_type': 'unknown'}, {'wetland_type': 'white mangrove', 'impact_quantity': 'unknown', 'impact_unit': 'unknown', 'impact_duration': 'unknown', 'impact_type': 'unknown'}, {'wetland_type': 'sea oxeye', 'impact_quantity': 'unknown', 'impact_unit': 'unknown', 'impact_duration': 'unknown', 'impact_type': 'unknown'}, {'wetland_type': 'seaside heterotrope', 'impact_quantity': 'unknown', 'impact_unit': 'unknown', 'impact_duration': 'unknown', 'impact_type': 'unknown'}, {'wetland_type': 'salt myrtle', 'impact_quantity': 'unknown', 'impact_unit': 'unknown', 'impact_duration': 'unknown', 'impact_type': 'unknown'}, {'wetland_type': 'red mangroves', 'impact_quantity': 'unknown', 'impact_unit': 'unknown', 'impact_duration': 'unknown', 'impact_type': 'unknown'}, {'wetland_type': 'black mangroves', 'impact_quantity': 'unknown', 'impact_unit': 'unknown', 'impact_duration': 'unknown', 'impact_type': 'unknown'}, {'wetland_type': 'Reservoir', 'impact_quantity': 'unknown', 'impact_unit': 'unknown', 'impact_duration': 'unknown', 'impact_type': 'unknown'}, {'wetland_type': 'Mangrove Swamps', 'impact_quantity': 'unknown', 'impact_unit': 'unknown', 'impact_duration': 'unknown', 'impact_type': 'unknown'}, {'wetland_type': 'Exotic Wetland Hardwoods', 'impact_quantity': 'unknown', 'impact_unit': 'unknown', 'impact_duration': 'unknown', 'impact_type': 'unknown'}, {'wetland_type': 'Saltwater Marshes', 'impact_quantity': 'unknown', 'impact_unit': 'unknown', 'impact_duration': 'unknown', 'impact_type': 'unknown'}]}"
